Latitude,Longitude,Elevation(m),LocalDate,LocalTime,LimitingMag,SQMReading,CloudCover,Constellation
44.0682,3.70756,636.13,2017-07-28,00:26,6,20.94,clear,
44.0676,3.70721,634.0,2017-07-28,00:28,6,21.76,clear,
43.1446,0.0597382,483.0,2017-07-26,23:30,6,,clear,Hercules
44.3749,4.4201,79.48,2017-07-05,20:59,2,16.25,clear,
43.8709,4.39213,128.32,2017-06-30,20:53,3,17.78,1/4 of sky,
48.5798,-2.79804,87.45,2017-07-06,23:20,4,18.67,clear,
48.7405,2.23765,73.34,2017-07-17,00:10,3,17.61,clear,
44.8246,1.16501,158.84,2017-07-17,21:51,2,16.51,clear,
44.8032,1.15987,69.82,2017-07-17,23:27,6,21.19,clear,
44.8031,1.15979,69.87,2017-07-17,23:28,6,21.27,clear,
48.4139,2.7269,62.25,2017-07-21,23:08,3,17.27,1/2 of sky,
49.1364,6.77835,301.11,2017-07-21,23:26,4,18.75,clear,
49.1364,6.77835,301.11,2017-07-21,23:27,4,18.61,clear,
44.0671,3.68382,435.82,2017-07-22,00:43,6,21.52,clear,
44.0671,3.68382,435.82,2017-07-22,00:43,6,21.21,clear,
44.0671,3.68382,435.82,2017-07-22,00:44,6,21.65,clear,
44.0671,3.68382,435.82,2017-07-22,00:44,6,20.89,clear,
44.0676,3.70749,640.35,2017-07-22,23:43,6,21.29,clear,
44.068,3.70731,634.75,2017-07-22,23:44,6,21.36,clear,
44.068,3.70731,634.75,2017-07-22,23:44,6,20.73,clear,
44.068,3.70731,634.75,2017-07-22,23:46,6,21.79,clear,
49.1362,6.77855,297.07,2017-07-23,00:39,6,21.41,clear,
44.0681,3.70741,636.22,2017-07-23,23:42,6,21.3,clear,
44.0681,3.70718,629.55,2017-07-23,23:42,6,20.94,clear,
44.068,3.70716,630.84,2017-07-23,23:43,6,21.39,clear,
44.068,3.70743,638.19,2017-07-23,23:44,6,21.0,clear,
44.0681,3.70732,633.84,2017-07-25,01:08,6,20.89,clear,
44.0681,3.70732,633.84,2017-07-25,01:08,6,21.16,clear,
44.0681,3.70732,633.84,2017-07-25,01:09,6,21.07,clear,
43.9261,5.20235,461.19,2017-07-22,23:22,6,,clear,
49.0511,7.31646,348.1,2017-07-19,01:12,6,,clear,
44.0395,3.5039,1286.86,2017-07-04,23:28,6,21.15,clear,
44.0395,3.5039,1286.86,2017-07-04,23:29,6,21.09,clear,
44.0396,3.50411,1285.26,2017-07-04,23:29,6,20.84,clear,
44.0395,3.50385,1287.24,2017-07-04,23:30,6,21.54,clear,
44.0405,3.50405,1288.39,2017-07-04,23:31,6,21.21,clear,
44.0396,3.50387,1288.4,2017-07-04,23:31,6,21.32,clear,
44.0396,3.50387,1288.4,2017-07-04,23:32,6,21.87,clear,
44.0396,3.50387,1288.4,2017-07-04,23:33,6,21.31,clear,
48.4141,2.72682,64.06,2017-06-17,00:58,4,18.94,clear,
44.3844,3.63988,951.52,2017-06-17,01:09,5,19.12,clear,
46.0303,0.641685,211.38,2017-04-28,00:40,5,19.81,1/4 of sky,
44.0683,3.7075,631.51,2017-06-21,23:29,6,21.34,clear,
44.0683,3.7075,631.51,2017-06-21,23:30,6,21.56,clear,
44.0681,3.70735,634.62,2017-06-21,23:30,6,20.98,clear,
44.068,3.70719,631.68,2017-06-21,23:31,6,20.7,clear,
46.1574,0.782816,197.77,2017-06-22,04:08,6,20.42,clear,
46.1574,0.782851,197.72,2017-06-22,04:09,5,20.2,clear,
48.4141,2.72679,64.19,2017-06-22,23:16,3,17.09,1/4 of sky,
44.0681,3.70737,635.14,2017-06-23,00:22,6,21.17,clear,
44.0681,3.70737,635.14,2017-06-23,00:22,6,21.42,clear,
44.0681,3.7073,633.36,2017-06-23,00:23,6,21.56,clear,
44.0681,3.70723,631.48,2017-06-24,00:42,6,21.31,clear,
44.0681,3.70723,631.48,2017-06-24,00:43,6,21.57,clear,
44.0681,3.70723,631.48,2017-06-24,00:43,6,21.41,clear,
44.0678,3.70711,631.16,2017-06-24,00:44,6,21.01,clear,
44.068,3.70736,636.1,2017-06-25,00:37,6,20.76,clear,
44.068,3.70736,636.1,2017-06-25,00:38,6,21.43,clear,
44.068,3.70721,632.24,2017-06-25,00:38,6,21.23,clear,
44.068,3.70721,632.24,2017-06-25,00:39,6,21.04,clear,
44.0679,3.7073,635.48,2017-06-26,00:43,6,21.2,clear,
44.0679,3.7073,635.48,2017-06-26,00:43,6,21.1,clear,
44.0679,3.7073,635.48,2017-06-26,00:44,6,21.39,clear,
48.3946,1.20315,190.69,2017-06-26,01:15,6,,clear,
49.059,6.07887,194.64,2017-06-26,00:41,6,,clear,
49.9123,3.9335,130.62,2017-06-23,01:15,4,,clear,
45.807,6.06818,678.47,2017-06-17,23:54,6,,clear,
43.1556,5.89637,191.39,2017-06-17,23:16,5,19.3,clear,
45.6897,3.22334,417.67,2017-06-11,23:20,5,20.02,clear,
48.4141,2.72677,64.28,2017-06-13,00:16,4,18.74,clear,
46.8979,-1.83358,33.66,2017-06-17,01:05,6,,clear,
47.3335,-1.1769,60.57,2017-06-03,23:59,5,19.42,clear,
44.0681,3.70734,634.35,2017-05-29,00:33,5,19.55,clear,
44.0682,3.70749,634.78,2017-05-29,00:34,5,19.47,clear,
44.0681,3.7074,635.95,2017-05-29,00:36,5,19.65,clear,
44.0667,3.70782,631.04,2017-05-30,00:17,4,18.96,clear,
44.0667,3.70782,631.04,2017-05-30,00:18,5,19.04,clear,
44.0666,3.70765,626.41,2017-05-30,00:18,5,19.81,clear,
44.068,3.70733,635.24,2017-05-30,23:34,6,20.8,clear,
44.0681,3.70751,638.52,2017-05-30,23:35,6,20.62,clear,
44.0683,3.70729,625.19,2017-05-30,23:35,6,20.74,clear,
44.0661,3.70548,562.55,2017-05-30,23:37,5,20.18,clear,
44.0661,3.70548,562.55,2017-05-30,23:40,6,21.02,clear,
44.0677,3.70719,633.65,2017-05-30,23:41,6,21.55,clear,
44.0677,3.70726,635.74,2017-05-30,23:44,6,20.44,clear,
47.3333,-1.17726,60.02,2017-06-02,23:15,4,18.88,clear,
47.3335,-1.17688,60.61,2017-06-02,23:29,5,19.39,clear,
44.0672,3.70807,639.62,2017-05-24,01:12,4,18.01,clear,
48.4141,2.72677,64.28,2017-05-24,23:25,5,19.03,clear,
44.4545,3.61604,1376.46,2017-05-25,00:21,6,21.55,clear,
44.4545,3.61604,1376.46,2017-05-25,00:22,6,21.02,clear,
44.0671,3.70807,638.57,2017-05-25,00:03,5,19.23,clear,
44.0671,3.70807,638.57,2017-05-25,00:03,5,19.23,clear,
44.0682,3.70747,634.35,2017-05-25,00:08,4,18.83,clear,
44.0682,3.70747,634.35,2017-05-25,00:09,4,18.67,clear,
44.068,3.70727,633.8,2017-05-26,00:30,5,19.03,clear,
44.068,3.70727,633.8,2017-05-26,00:31,5,19.04,clear,
44.2599,3.46005,954.69,2017-05-25,23:45,6,21.23,clear,
44.2599,3.46004,954.68,2017-05-26,00:52,6,21.04,clear,
44.2598,3.45992,955.09,2017-05-26,03:25,6,21.86,clear,
44.2598,3.45992,955.09,2017-05-26,03:25,6,21.54,clear,
44.2643,3.45844,945.84,2017-05-26,03:26,6,21.8,clear,
44.2643,3.45844,945.84,2017-05-26,03:27,6,21.49,clear,
44.0394,3.50452,1283.27,2017-05-26,23:55,6,21.28,clear,
44.1129,3.50969,1151.47,2017-05-27,00:08,6,21.31,clear,
44.1151,3.50984,1196.93,2017-05-27,00:09,6,21.29,clear,
44.1154,3.50986,1204.87,2017-05-27,00:09,6,21.48,clear,
44.0682,3.70719,626.7,2017-05-27,00:38,5,19.08,clear,
44.0682,3.70719,626.7,2017-05-27,00:39,5,19.29,clear,
44.068,3.70727,633.8,2017-05-27,00:39,4,18.86,clear,
44.0681,3.7073,633.36,2017-05-27,00:40,5,19.36,clear,
44.068,3.70738,636.7,2017-05-28,00:02,4,18.53,clear,
44.068,3.70738,636.7,2017-05-28,00:03,4,18.83,clear,
44.068,3.70738,636.7,2017-05-28,00:03,5,19.22,clear,
44.068,3.70738,636.7,2017-05-28,00:04,5,19.14,clear,
46.0465,6.34736,675.44,2017-05-28,23:12,4,,clear,Leo
47.6013,6.74068,341.84,2017-05-27,00:00,4,18.77,1/4 of sky,Leo
46.0486,6.34715,654.26,2017-05-27,23:47,2,,clear,Leo
45.9248,6.14525,532.15,2017-05-25,23:38,6,,clear,
45.6899,3.2228,400.77,2017-05-14,00:19,5,19.69,1/4 of sky,
