code,name,abbrev,status,fall,year,place,type,mass,met_bull,antarctic,latitude,longitude,comment,nom_dep
12456,Lancon,,Official,Y,1897.0,"Provence-Alpes-Cote d'Azur, France",H6,7000.0,,,43.75,5.11667,,Departement des Bouches-du-Rhone
23087,St. Germain-du-Pinel,,Official,Y,1890.0,"Bretagne, France",H6,4000.0,,,48.01667,-1.15,,Departement d'Ille-et-Vilaine
24182,Villedieu,,Official,,1890.0,"Bourgogne, France",H4,14000.0,,,47.91667,4.35,,Departement de l'Aube
11178,Grazac,,Pseudo,Y,1885.0,"Auvergne, France",Pseudometeorite,,,,45.18333,4.28333,,Departement de la Haute-Loire
23081,St. Caprais-de-Quinsac,,Official,Y,1883.0,"Aquitaine, France",L6,360.0,,,44.75,0.05,,Departement de la Gironde
12392,La Bécasse,,Official,Y,1879.0,"Centre, France",L6,2800.0,,,47.08333,1.75,,Departement de l'Indre
16747,Mornans,,Official,Y,1875.0,"Rhone-Alpes, France",H5,1300.0,,,44.6,5.13333,,Departement de la Drome
12282,Kerilis,,Official,Y,1874.0,"Bretagne, France",H5,5000.0,,,48.4,-3.3,,Departement des Cotes-d'Armor
12455,Lancé,,Official,Y,1872.0,"Centre, France",CO3.5,51700.0,,,47.7,1.06667,,Departement du Loir-et-Cher
12408,Laborel,,Official,Y,1871.0,"Rhone-Alpes, France",H5,3833.0,,,44.28333,5.58333,,Departement des Hautes-Alpes
12284,Kernouve,,Official,Y,1869.0,"Bretagne, France",H6,80000.0,,,48.11667,-3.08333,,Departement du Morbihan
18030,Ornans,,Official,Y,1868.0,"Franche-Comté, France",CO3.4,6000.0,,,47.11667,6.15,,Departement du Doubs
23188,Sauguis,,Official,Y,1868.0,"Aquitaine, France",L6,4000.0,,,43.15,-0.85,,Departement des Pyrenees-Atlantiques
